PRIMARY_NAME,LATITUDE83,LONGITUDE83,CRITICAL_MINERALS
NASHUA RIVER RAIL TRAIL PARKING LOT,42.565284,-71.587957,chromium
THE ARGO MINE,40.119,-105.39531,fluorspar
DEEP WATER MARINA,41.45588,-82.7185,arsenic
TRI CHEM,41.04753,-73.5373,arsenic
SEABOARD EQUITIES,41.0479,-73.53606,arsenic
224-226 WEST 2ND STREET (CLUSTER 3),42.4966,-92.34372,aluminum
MULBERRY MODOT,39.1058,-94.5999,arsenic
"SAND SPRINGS KEYSTONE CORRIDOR REDEVELOPMENT, AREA",36.24523,-96.12366,zinc
1203 & 1205 SOUTH INDUSTRIAL BOULEVARD,32.764325,-96.801485,aluminum
WICHITA 9TH ST CORRIDOR- PARCEL 138376,38.47723,-101.35166,tin
BECHTEL MCLAUGHLIN INC,41.42372,-82.67963,chromium; nickel; zinc
HELMICK 10TH STREET PROPERTY - PARCEL 137,39.47177,-80.15085999999998,arsenic
HELMICK 10TH STREET PROPERTY - PARCEL 156,39.47177,-80.15085999999998,arsenic
HELMICK 10TH STREET PROPERTY - PARCEL 145,39.47177,-80.15085999999998,arsenic
HELMICK 10TH STREET PROPERTY - PARCEL 147,39.47177,-80.15085999999998,arsenic
HELMICK 10TH STREET PROPERTY - PARCEL 156,39.47177,-80.15085999999998,arsenic
HELMICK 10TH STREET PROPERTY - PARCEL 158,39.47177,-80.15085999999998,arsenic
HELMICK 10TH STREET PROPERTY - PARCEL 161,39.47177,-80.15085999999998,arsenic
BERWICK HOTEL,43.60668,-72.97759999999998,arsenic; manganese
MOOSA HOSPITAL,30.4977,-92.40493,copper
231 N. CONCORD EXCHANGE,44.8942,-93.0359,tin
BAKER HEATING AND SHEET 07-09,41.50618,-87.62738,tin
BAKER HEATING AND SHEET 010 & 11,41.50618,-87.62788,tin
FLINTKOTE PROPERTY - 105,41.49993,-87.62099,arsenic
WOODLAWN PARK,41.761847,-87.59574399999998,aluminum
FLINTKOTE PROPERTY - 104,41.49993,-87.62099,arsenic
FLINTKOTE PROPERTY - 103,41.49993,-87.62099,arsenic
FLINTKOTE PROPERTY -102,41.49993,-87.62099,arsenic
MORETZ INC,35.73336,-81.32664,nickel
MILLER PROPERTY (G3LTNYOO),40.48254,-75.51824,chromium
"HERMANN ELECTRIC LIGHT PLANT, FORMER POWER BLDG",38.70497,-91.43306,tin
HISTORIC PRESERVATION OF HERMANN,38.7051,-91.4331,tin
HOPLAND BAND OF POMO INDIANS,38.98026,-123.05893,arsenic
CRAFT,48.11341,-123.14603,arsenic
YANKEE OIL,42.11272,-72.60033,magnesium
ROSE EXTERMINATOR COMPANY WAREHOUSE,39.174662,-84.45534,arsenic
BARKERS CREEK INDUSTRIAL PARK,37.529939,-81.373739,arsenic
SAMARIUS INDUSTRIES,41.31724,-73.09157,chromium
113 CANAL STREET,41.3169,-73.09122,chromium
MODERN ELECTROPLATING CO INC,42.32885,-71.08517,aluminum
HARBISON WALKER,43.940516,-86.416498,magnesium
FORMER NORFOLK & WESTERN RAILROAD FACILITY,41.760213,-86.809155,nickel
319 3RD STREET,38.58789,-121.51014,chromium; nickel
13035 KERCHEVAL AVENUE,42.37595,-82.95529999999998,tin
21 CALLER STREET,42.52472,-70.92158,arsenic; chromium
CITY OF PERRY (1),41.842158,-94.136103,arsenic
CITY OF PERRY (2),41.842375,-94.122067,arsenic
CITY OF PERRY (3),41.842878,-94.111761,arsenic
JORDAN VALLEY WEST MEADOWS SITE #1,37.209996,-93.296491,arsenic
HELMICK 10TH STREET PROPERTY-PARCEL 148.1 G3PQNY00,39.47177,-80.15085999999998,arsenic
PARK CENTRAL FLEA MARKET,37.2123,-93.2926,arsenic
JORDAN VALLEY WEST MEADOWS SITE 2,37.2102,-93.3034,arsenic; tin
JORDAN VALLEY WEST MEADOWS SITE 3,37.21557,-93.2963,arsenic
OZBUN PROPERTY,36.97309,-93.72109,zinc
FLATS EAST BANK NEIGHBORHOOD,41.501406,-81.70371299999998,arsenic; manganese
MOUNTAIN ROAD FIRING RANGE TARGET PITS 2 & 3,42.20531,-72.66893,antimony; arsenic
GOODWILL INDUSTRIES OF SW MICHIGAN,42.31958,-85.58077,aluminum; zinc
NORTHVIEW APARTMENTS,32.38993,-94.87503,arsenic
50 WEST MICHIGAN AVENUE,42.320543,-85.18373599999998,tin
KEYSTONE SENECA WIRE CLOTH COMPANY,31.599422,-90.43559,aluminum
FORMER STRIKETOWN BOWLING CENTER,43.674903,-85.483406,zinc
VACANT LOT ADJACENT TO FORMER GRAND HOTEL SITE (PIN 8913-26-201-005),42.498911,-92.347495,tin
ART ALLEY SITE,30.43551,-84.2891,arsenic
WAGONER DUMP GROUND,35.973475,-95.393875,tin
12TH STREET AND MINOR AVE PARCEL 73 G3XCNY00,39.465876,-80.15329599999998,arsenic; chromium
12TH STREET AND MINOR AVE PARCEL 74 G3XDNY00,39.466413,-80.150373,arsenic; chromium
12TH STREET AND MINOR AVE PARCEL 74.4 G3XENY00,39.467754,-80.14884499999998,arsenic; chromium
1630 N. 31ST ST,43.05217,-87.95288999999998,arsenic
"FOREFRONT PROPERTIES, LTD. 888 WOOSTER RD.",41.01102,-81.62175,arsenic
SELMA HOUSING DEVELOPMENT CORPORATION,32.40696,-87.01835,copper
MULTI METALS INC. PROPERTY,31.341827,-110.960724,arsenic
OKC HOUSING AUTHORITY - MLK AVENUE,35.49582,-97.47672,arsenic
JORDAN VALLEY WEST MEADOWS SITE #4,37.2102,-93.3034,arsenic
TRANSIT PARK,33.21363,-97.12357,arsenic
JVIC SOLID STATES CIRCUITS,37.21436,-93.29228,arsenic
1228 S. MAIN STREET,41.24974,-95.85177,arsenic
SPRINGFIELD MILL AND LUMBER,37.21745,-93.29307,arsenic
"EPEC POLYMERS, INC.",42.87131,-87.84815,arsenic
FT PIERCE UTILITIES AUTHORITY,27.450654,-80.324207,aluminum; arsenic; chromium; manganese; vanadium
FORMER SPRINGSTEEN PLANT PROPERTY,34.7049,-81.20605,chromium; copper
ATLAS INDUSTRIAL PARK,46.681582,-92.22652,arsenic; chromium; copper; zinc
HAYES VENDING,37.22949,-93.29313,tin
RAILROAD AVENUE SITE,28.35301,-80.73337999999998,arsenic
VALERIA BOSS SALON,37.20978,-93.29074,arsenic; beryllium
FORMER ESSEX WIRE SITE,41.93563,-85.62974,copper
2934 THOMAS ST,38.64377,-90.218841,platinum
FISHERVILLE MILL,42.177345,-71.690176,aluminum
"2926 THOMAS STREET, NEW",38.64377,-90.21854,platinum
2918 THOMAS ST,38.64377,-90.21841,platinum
2914 THOMAS ST,38.643579,-90.218308,platinum
"ALBAN TRACTOR CO., INC.",38.83881,-76.86199999999998,platinum
MILLERS FALLS PAPER MILL PROPERTY,42.57892,-72.4873,arsenic
GRO-MOR FERTILIZER PLANT SITE,28.013056,-82.12328999999998,arsenic; chromium
CHIC-1114 4TH AVE.,41.257865,-95.860604,arsenic
WATER STREET REDEVELOPMENT PROJECT AREA AOC#2,42.241128,-83.608481,arsenic; zinc
GLADEWATER GYM,32.5367,-94.93836,arsenic
CC HOUSING,35.511924,-106.326887,beryllium; cobalt; copper
JVIC FORMER MFA SILOS,37.21229,-93.29399,arsenic
CONNELL ALUMINUM SITE,42.87798,-87.85331999999998,aluminum
"FORMER ELECTROSONICS SITE - MAP 6A, LOT D5.1",42.907405,-72.41790399999998,copper
RAILS TO TRAILS,27.87108,-82.51856999999998,arsenic
1111 LIGHT STREET,39.27669,-76.61228,arsenic
15 SEA STREET,44.903319,-66.984504,tin
JAYLYNN LLC,40.8131,-96.7124,arsenic
FORMER JACK'S LIQUOR STORE,42.95499,-85.63077,tin
2904 SHERIDAN AVE NEW,38.64472,-90.21793,platinum
2922 SHERIDAN,38.64471,-90.21855,platinum
2930 SHERIDAN AVE,38.64471,-90.21888000000001,platinum
2936 SHERIDAN AVE,38.644701,-90.219052,platinum
2909 THOMAS ST,38.643811,-90.21801,platinum
2917 THOMAS ST,38.643806,-90.218329,platinum
2927 THOMAS ST NEW,38.64377,-90.21875,platinum
2933 THOMAS ST,38.643798,-90.218898,platinum
2905 THOMAS ST NEW,38.64378,-90.21796,platinum
3849 PARK AVE (FORMER ODESSA MARKET) - IVANHOE NEIGHBORHOOD,39.0557,-94.55693,arsenic
CLARK MECHANICAL BTA,39.31638,-94.91373,arsenic
OLD GULF OIL SITE,34.6151,-79.0056,tin
2919 THOMAS ST,38.64377,-90.21847,platinum
2921 THOMAS ST NEW,38.64377,-90.21861,platinum
2930 THOMAS ST NEW,38.64377,-90.21867,platinum
WAREHOUSE PROPERTY - W GAINES,30.435555,-84.29258,arsenic
A & N WELDING,41.7935,-85.63897,zinc
COP SHOP BA,45.96951,-89.89381,copper
FORMER HIG MANUFACTURING FACILITY,41.82224,-72.60619,copper; nickel; tin
MUELLER AVE - JDK PROPERTY,35.0852,-85.25638999999998,titanium
ARK TO HAYSVILLE CORRIDOR BTA,37.611052,-97.36246000000001,arsenic
"PRAIRIE MINE RD SITE MUL1,2",27.902923,-81.98506999999998,arsenic
CANAL CROSSINGS,40.70744,-74.07289,chromium
PRAIRIE SUNSET CORRIDOR,37.664869,-97.432727,arsenic
BR 175 2312 SCENIC HWY,30.46903,-91.16812,aluminum
POLK NURSERY 1 - EAST,28.0822,-81.82769999999998,arsenic
"FORMER MULBERRY CONSTRUCTION SITE MUL 3,4,5,13,21",27.89498,-81.96685999999998,arsenic; chromium; nickel
"PLATINUM, LLC",47.50526,-111.29173,platinum
MULBERRY - CIVIC CENTER SITE,27.897383,-81.96913399999998,arsenic
520 W OLIVE ST,37.20984,-93.29634,arsenic
THE BELTRAMO PROPERTY,38.259278,-104.57905,arsenic; manganese
RASPBERRY STRAIT DUMPSITE AFOGNAK,58.00164,-152.84426,arsenic
PROPOSED ST. CLAIR PLAZA,38.62104,-90.12376,tin
TAZLINA COPPER VALLEY SCHOOL,62.04751,-145.40306,copper
PRAIRIE DU CHIEN MARINA,43.056657,-91.152359,tin
RIVER BEND FOODBANK,41.50635,-90.52122,arsenic; chromium
WESSEL PATTERN COMPANY,41.50606,-90.52502,arsenic
PORT HEIDEN FORMER LANDFILL,56.93446,-158.64267,arsenic; chromium
"POBT ZONE 4, PSRC, MARTIN PROPERTY",48.301167,-116.532023,zinc
FRTM-001 TECUMSEH SITE,27.753685,-81.805227,arsenic
FRTM-002 HACKL ENTERPRISES SITE,27.748229,-81.764049,aluminum
FORMER TRINITY DIFCO-NORTH MIDDLE SCHOOL PROPERTY,41.05943,-83.65008,arsenic
HEURERMAN'S BATTERIES AND STORAGE,41.04227,-83.65022999999998,arsenic
PARCEL 063-102-09-0-30-34-017,37.26969,-95.55139,arsenic
"063-102-09-0-30-23-002.01, -002.02, & 002.10",37.26994,-95.55721,arsenic
FORMER NEW JERSEY ZINC COMPANY – WEST PLANT,40.795278,-75.63166699999998,zinc
HORACE MANN SCHOOL,39.05563,-94.56023,arsenic
BROOKSIDE GAS STATION,33.637887,-86.91691799999998,arsenic
QUAD POTENTIAL SITE 1,45.546567,-122.661369,tin
13 HOPE AVENUE,42.23187,-71.81979,aluminum
1585 RIVERSIDE DRIVE,44.630563,-88.044531,arsenic
SPRING RIVER PWWSD #19,37.1329,-94.6699,arsenic
TIGER METALS,38.52662,-82.67945,copper
20 S 2ND AVE,42.04835,-92.90966,arsenic
204 E CHURCH ST,42.04791,-92.90918,arsenic
FORMER KAISER ALUMINUM SITE,29.939093,-89.98738299999998,aluminum
TARR & WONSON PAINT FACTORY,42.6066,-70.65975,copper
OLD PECO PORPERTY,40.24398,-75.65353,arsenic
55 DAISY STREET,41.33502,-72.93418,copper; nickel; zinc
FAJEN PROPERTY,38.24335,-93.36543,arsenic; chromium
HICKORY HILLS SCHOOL,37.20956,-93.22397,arsenic
3563 AND 3657 W NICHOLS ST,37.2213,-93.3516,arsenic; chromium
C2S V12,35.46003,-97.51746,tin
FORMER STOCK BUILDING/MCGINNES LUMBER,28.0118,-82.12241,arsenic
COUNTRY VIEW MOBILE PARK BTA,38.85648,-99.29524,manganese
NORTHBRIDGE AUTO WRECKING CO,42.14802,-71.64747,chromium
SMITH RENTALS SOUTH,32.191927,-110.965276,arsenic
THREE RIVERS RIVERWALK,41.935278,-85.63388899999998,copper
PLK-003 ELOISE PARCELS,27.98997,-81.73390999999998,arsenic
VALLEJO 17.12 ACRE SITE,38.09389,-122.25366,arsenic; copper; zinc
PROPOSED SPECIAL EDUCATION AND ALTERNATIVE EDUCATI,37.480625,-121.128561,arsenic
VEKOL MINE - KOHATK,32.514574,-111.945249,arsenic
COPPER RIDGE PROFESSIONAL CENTER,44.74497,-85.65502999999998,copper
LOGAN DIESEL,42.44934,-84.44476,aluminum
HEMENWAY ROCALLA PROPERTY,32.374341,-112.86345,copper
PLAZA TRIANGLE PARK,32.374021,-112.862319,arsenic; chromium; copper
AJO PLAZA PARK,32.37244,-112.8608,copper
AT TIRE,32.385244,-112.871944,arsenic; chromium; copper
AJO TRANSPORTATION,32.38259,-112.87237,copper
AJO REALTY,32.37468,-112.87141,copper
220 SOUTH 5TH STREET,41.616069,-94.01384,arsenic
415 A&B RIVER STREET,41.615889,-94.013069,arsenic
U-HAUL,32.39503,-112.871228,arsenic
BARTOW FORMER CIGAR FACTORY,27.898517,-81.83296199999998,arsenic
GOLDEN COMMUNITY GARDEN,39.75491,-105.23117,arsenic
TRANSIT VILLAGE CORE,34.099368,-117.296229,arsenic
FORD PROPERTY DEMOLITION,32.3807,-112.8724,copper
LIFE ENRICHMENT SARTILLION PROPERTY DEMOLITION,32.37873,-112.87434,copper
LIFE ENRICHMENT AJO-GB PROPERTY DEMOLITION,32.384117,-112.872754,copper
SULLIVAN PROPERTY DEMOLITION,32.391263,-112.872174,copper
SUE'S FLOWERS AND GIFT SHOP,32.38032,-112.8724,copper
MACIAS PROPERTY DEMOLITION,32.38047,-112.87111,copper
ARIZONA CHILDREN'S ASSOCIATION,32.190613,-110.970141,arsenic
3300 MOBILE HIGHWAY,30.42247,-87.25508,arsenic
1210 INDUSTRIAL,42.29555,-83.14389,arsenic
120-124 W. MICHIGAN AVENUE,42.241173,-83.613569,tin
DAYSPRING MINISTRIES SITE,35.10871,-77.05410999999998,manganese
CHRYSLER LLC,42.58395,-87.84556999999998,tin
SPEEDRACK PRODUCTS GROUP LTD,41.94635,-84.88707999999998,aluminum
PETE HOLLIS SITE,34.8603,-82.40612,arsenic
321 GREEN STREET,32.99792,-82.409772,tin
JORDAN VALLEY WEST MEADOWS SITE #8,37.210222,-93.296512,arsenic
"NEON MARKETPLACE AND GAS STATION - 75 QUINSIGAMOND AVENUE, WORCESTER, MA",42.24705,-71.80335,chromium
LA SIESTA MOTEL,32.403202,-112.872921,copper
AJO COMMUNITY HEALTH CENTER,32.37552,-112.86407,copper
TORRES PROPERTY DEMOLITION,32.38314,-112.87237,copper
BETANCORT PROPERTY,32.384529,-112.871957,copper
MATTESON PROPERTY,32.42463,-112.8758,copper
DOEHLER JARVIS SMEAD,41.66068,-83.5783,aluminum
ARIZONA CHILDREN'S ASSOCIATION,32.190613,-110.970141,arsenic; chromium
FORMER ASTATIC PROPERTY - BROAD AND JACKSON,41.94733,-80.5537,tungsten
ST. JOSEPH HOSPITAL,41.45231,-82.16746999999998,arsenic
UDALL COMMUNITY CENTER,37.387429,-97.117185,arsenic
THE HOLLOW,42.65515,-73.726,copper
TONOPAH CONVENTION CENTER,38.06773,-117.23223,arsenic
ALLEN COUNTY HOSPITAL #1,37.92213,-95.38958,zinc
ALLEN COUNTY HOSPITAL #2,37.923042,-95.390763,zinc
IRS BUILDING - FLINT,43.024669,-83.69346199999998,copper; graphite
CENTRO CARISMATICO CARISMATICO,32.187836,-110.965935,arsenic; chromium
GARNAVILLO SCHOOL,42.86797,-91.23777,tin
OLD MASON HOTEL,42.57816,-84.44355,copper
11123 WEST BURLEIGH ST,43.07463,-88.05175,aluminum
NATIONAL PARK SEMINARY,39.011368,-77.057294,arsenic; chromium
560 TERMINAL AVENUE,39.718715,-75.537442,arsenic
M&N PROPERTY,39.73057,-75.55618,arsenic
FORMER CITY HALL SITE,28.35197,-80.72618,arsenic
NAVARRO PROPERTY,33.99111,-118.25292,chromium; copper; nickel
OVROM PARK AND SCHOOL,34.17719,-118.30368,arsenic
PROPOSED BACKPOCKET BREWERY,41.682176,-91.559473,arsenic
FORMER INDUSTRIAL BROWNHOIST/AKA UPTOWN BAY CITY,43.592003,-83.890888,arsenic; chromium; magnesium
167 BEARFOOT ROAD,42.34097,-71.63791,arsenic
NELSON FOUNDRY,40.76729,-73.935435,zinc
"HANCOCK-ELLSWORTH TANNERY, PARCEL 1",44.539153,-68.314731,chromium
824 JEFFERSON STREET PROPERTY,34.33938,-78.68434999999998,chromium
DEVELOPMENT & LEASING D&L,45.17842,-89.67529,aluminum
GRABER PROPERTY DEMOLITION,32.37649,-112.87709,copper
WEST MEADOWS SITE 5,37.19979,-93.35753,arsenic
WEST MEADOWS SITE 6,37.19979,-93.35753,arsenic
WEST MEADOWS SITE 7,37.19979,-93.35753,arsenic
FORMER NABCO PATTERSON PLANT,43.897979,-85.52279199999998,aluminum
1 CHURCH STREET/ATLANTIC WIRE,41.27745,-72.80939999999998,copper; tin
BLE LIGHT RAIL PROJECT,35.235384,-80.82736,arsenic
