name,facility_a,product,Latitude,longitude
SPANG & CO. (H Q),"110 DELTA DRIVE, PITTSBURGH, PA, 15238",COMPANY HEADQUARTERS; MAGNETIC ELECTRONIC COMPONENTS & POWER CONTROL EQUIPMENT,1.517,-80.026
"BRUSH INDUSTRIES, INC.","301 REAGAN STREET, SUNBURY, PA, 17801",MAGNETIC HEADS & PRECISION MACHINING JOB SHOP,2.291,-77.951
"GEOMETRICS, INC.","2190 FORTUNE DRIVE, SAN JOSE, CA, 95131","ELECTRONIC GEOPHYSICAL EQUIPMENT, INCLUDING SEISMOGRAPHS, MAGNETOMETERS & EM INSTRUMENTS",0.14,-109.997
"DYNAMIC SCIENCES INTERNATIONAL, INC.","6130 VARIEL AVENUE, WOODLAND HILLS, CA, 91367",ELECTROMAGNETIC TEST SYSTEMS,-3.38,-108.56
"MIDTRONICS, INC.","7000 MONROE STREET, WILLOWBROOK, IL, 60527","ELECTRONIC BATTERY TESTERS, CHARGERS, MONITORS & MAGNETIC PICK UP SENSORS",2.02,-85.841
"FOERSTER INSTRUMENTS, INC.","140 INDUSTRY DRIVE, PITTSBURGH, PA, 15275",ELECTROMAGNETIC NONDESTRUCTIVE TESTING INSTRUMENTS & SYSTEMS,1.439,-80.248
"MAGUIRE PRODUCTS, INC.","11 CROZERVILLE ROAD, ASTON, PA, 19014","WEIGH SCALE BLENDERS, PELLETIZED & LIQUID COLOR FEEDERS, VACUUM LOADERS & MAGNETIC DRAWERS & GRANULATORS",1.535,-76.827
"QUEST INTEGRATED, INC.","1012 CENTRAL AVENUE SOUTH, KENT, WA, 98032",LASER MEASUREMENT TOOLS & MAGNETIC IMAGING INSPECTION EQUIPMENT,9.193,-107.875
ELECTRONIC DATA DEVICES,"840 OXFORD DRIVE, ODESSA, TX, 79764","TURBINE FLOWMETERS, ELECTRONIC TOTALIZERS & MAGNETIC PICKUPS & SENSORS",-7.794,-96.73
"ORION INSTRUMENTS, LLC","6646 COMPLEX DRIVE, BATON ROUGE, LA, 70809",MAGNETIC LEVEL INDICATORS,-9.541,-87.409
TYCO VALVES & CONTROLS,"320 LOCUST STREET, PROPHETSTOWN, IL, 61277","LIQUID & ELECTRONIC LEVEL INDICATORS, MAGNETIC GAGES & VALVES, SIGHT FLOW INDICATORS & FLOWMETERS",1.821,-87.236
REED SWITCH DEVELOPMENTS CORP.,"2524 NORWOOD COURT, RACINE, WI, 53403",CUSTOM & STANDARD MAGNETICALLY-ACTIVATED PROXIMITY SWITCHES/SENSORS,2.954,-85.833
DYNAPAR,"1675 DELANY ROAD, GURNEE, IL, 60031","OPTICAL, HEAVY-DUTY, MAGNETIC & ABSOLUTE ENCODERS & RESOLVERS",2.646,-85.872
SYPRIS TEST & MEASUREMENT,"2055 WEST ARMY TRAIL ROAD, ADDISON, IL, 60101","CURRENT SENSING COMPONENTS, MAGNETIC SEMICONDUCTORS & MEASUREMENT INSTRUMENTATION",2.186,-85.927
"BALLUFF, INC.","8125 HOLTON DRIVE, FLORENCE, KY, 41042","INDUCTIVE, OPTICAL, CAPACITIVE & MAGNETIC SENSORS, LINEAR POSITION TRANSDUCERS & LD SYSTEMS",-0.503,-83.173
AMETEK DREXELBROOK,"205 KEITH VALLEY ROAD, HORSHAM, PA, 19044","HYDROSTATIC, RADAR, ULTRASONIC, MAGNETORESTRICTIVE & RF LEVEL MEASUREMENT DEVICES & CONTROLS",1.902,-76.694
"ENEFLUX ARMTEK MAGNETICS, INC.","6 PHEASANT RUN, NEWTOWN, PA, 18940",MAGNETIC EQUIPMENT,1.953,-76.527
"M R RESOURCES, INC.","160 AUTHORITY DRIVE, FITCHBURG, MA, 01420",NUCLEAR MAGNETIC RESONANCE,4.684,-74.995
"DOTY SCIENTIFIC, INC.","700 CLEMSON ROAD, COLUMBIA, SC, 29229",NUCLEAR MAGNETIC RESONANCE PROBES & MR COILS,-4.872,-79.637
PIERCE MAGNETICS CORP.,"166 UNIVERSITY PARKWAY, POMONA, CA, 91768",MAGNETIC TAPE HEADS,-3.652,-108.04
IMATION CORP.,"1 IMATION PLACE, OAKDALE, MN, 55128",CORPORATE HEADQUARTERS & MANUFACTURER & DISTRIBUTOR OF MAGNETIC & OPTICAL REMOVABLE DATA STORAGE MEDIA PRODUCTS,5.054,-89.471
GRAHAM MAGNETICS,"1715 4TH STREET, GRAHAM, TX, 76450",RECORDING & MAGNETIC COMPUTER TAPE,-6.842,-93.568
"PHOENIX AMERICA, INC.","4717 CLUBVIEW DRIVE, FORT WAYNE, IN, 46804","INDUSTRIAL & MEDICAL MAGNETIC SENSORS & ENCODERS, INCLUDING CUSTOM MOLDED FERRITE & NEO GRADE BONDED MAGNETS",1.503,-83.844
"ELECTRONIC DATA MAGNETICS, INC.","210 OLD THOMASVILLE ROAD, HIGH POINT, NC, 27260",MAGNETIC STRIPED PRINTED PRODUCTS,-2.98,-79.338
"HARCO LABORATORIES, INC.","186 CEDAR STREET, BRANFORD, CT, 06405","AIR DATA SYSTEMS & SPEED SENSORS, INCLUDING RTDS, THERMOCOUPLES, HIGH SECURITY MAGNETIC SWITCHES & THERMOCOUPLE",3.319,-75.34
"MEASUREMENT SPECIALTIES, INC.","1000 LUCAS WAY, HAMPTON, VA, 23666",MINIATURIZED SENSORS FOR SCHOOL BUS STOP SIGNALS & MAGNETS,-1.335,-76.896
ORION ACCESS CONTROL SYSTEMS,"2321 WEST ARKANSAS LANE, PANTEGO, TX, 76013","ACCESS CONTROL SYSTEMS, INCLUDING GATE OPERATORS, CARD/XMTR ACCESS, TELEPHONE ENTRY & ELECTROMAGNETIC LOCKS",-7.283,-92.447
"MATRIX SYSTEMS, INC.","7550 PARAGON ROAD, DAYTON, OH, 45459","CONTROLLED ACCESS SECURITY, MAGNETIC STRIP, PROXIMITY & I-CLASS BADGE READERS",0.193,-82.944
EINSTRUCTION CORP.,"8224 EAST EVANS ROAD, SCOTTSDALE, AZ, 85260","COMPUTER INPUT PERIPHERALS, INCLUDING PEN-BASED ELECTROMAGNETIC-SENSING INPUT DEVICES, INTERACTIVE WHITEBOARDS",-5.076,-103.835
"MAGNA-PLUS, INC.","2828 SOUTH 44TH STREET, KANSAS CITY, KS, 66106",NOVELTY MAGNETS & VINYL MOUSE PADS,-0.944,-90.526
EINSTRUCTION CORP.,"7125 RIVERWOOD DRIVE, COLUMBIA, MD, 21046","COMPUTER INPUT PERIPHERALS, INCLUDING PEN-BASED ELECTROMAGNETIC-SENSING INPUT DEVICES, INTERACTIVE WHITEBOARDS",0.639,-77.668
L-3 COMMUNICATIONS ELECTRON DEVICES,"960 INDUSTRIAL ROAD, SAN CARLOS, CA, 94070","ELECTRONIC BROADCAST PRODUCTS, TRAVELING WAVE TUBES, MICROWAVE POWER MODULES, MAGNETRONS & KLYSTRONS",0.303,-110.208
"S I MANUFACTURING., INC.","1440 SOUTH ALLEC STREET, ANAHEIM, CA, 92805","INDUSTRIAL, AEROSPACE & MILITARY PRODUCTS, INCLUDING POWER SUPPLIES, RELAYS & CUSTOM MAGNETICS",-3.848,-108.161
MAGNETIC SENSOR SYSTEMS,"6901 WOODLEY AVENUE, VAN NUYS, CA, 91406","SOLENOIDS, ELECTROMAGNETS & DRIVING ELECTRONICS",-3.388,-108.48
PAYNE MAGNETICS CORP.,"854 WEST FRONT STREET, COVINA, CA, 91722",CUSTOM MAGNETIC PRODUCTS FOR THE AVIONICS & MEDICAL INDUSTRIES,-3.595,-108.098
"BOURNS, INC.","1200 COLUMBIA AVENUE, RIVERSIDE, CA, 92507","CORPORATE HEADQUARTERS & AUTOMOTIVE SENSORS, CIRCUIT PROTECTION SOLUTIONS, MAGNETIC PRODUCTS & MICROELECTRIC MODULES",-3.786,-107.715
"BI RA SYSTEMS, INC.","2410 MIDTOWN PLACE NE, ALBUQUERQUE, NM, 87107","ELECTRONIC EQUIPMENT ASSEMBLY, LED LIGHTING & HIGH VOLTAGE & BI-POLAR MAGNET SUPPLIES",-4.3,-99.632
"HISONIC, INC.","310 NORTH MARION STREET, OLATHE, KS, 66061",ELECTRICAL & MAGNETIC AIRCRAFT COMPONENTS,-1.112,-90.635
"TOROTEL PRODUCTS, INC.","620 NORTH LINDENWOOD DRIVE, OLATHE, KS, 66062",MAGNETIC ELECTRONIC COMPONENTS,-1.107,-90.6
"HERMETIC SWITCH, INC.","3100 NORGE ROAD, CHICKASHA, OK, 73018","HERMETICALLY SEALED, MAGNETICALLY OPERATED REED SWITCHES & PROXIMITY SENSORS",-4.954,-93.035
ITC SYSTEMS,"800 FEE FEE ROAD, MARYLAND HEIGHTS, MO, 63043",MAGNETIC CARD SYSTEMS,-1.175,-87.407
MAGNET SCHULTZ OF AMERICA,"401 PLAZA DRIVE, WESTMONT, IL, 60559","SOLENOIDS, ELECTRO-MAGNETIC DEVICES, VALUE- ADDED ASSEMBLIES & PRECISION MACHINED COMPONENTS",2.071,-85.866
"WARNER ELECTRIC, LLC","802 EAST SHORT STREET, COLUMBIA CITY, IN, 46725","ELECTROMAGNETIC COIL ASSEMBLIES, CLUTCH ASSEMBLIES & PLASTIC INJECTION MOLDING",1.588,-84.052
"TRI-TECH, LLC","56733 MAGNETIC DRIVE, MISHAWAKA, IN, 46545","CUSTOM SOLENOIDS, ELECTROMAGNETIC ACTUATORS, ENCAPSULATED COILS & THERMOPLASTIC VALVES",2.056,-84.567
WORLD MAGNETICS CO.,"810 HASTINGS STREET, TRAVERSE CITY, MI, 49686",ULTRASENSITIVE PRESSURE & VACUUM SWITCHES & MAGNETIC READ & WRITE HEADS,5.173,-84.536
SUMITOMO ELECTRIC WIRING SYSTEMS (H Q),"1018 ASHLEY STREET, BOWLING GREEN, KY, 42103","CORPORATE HEADQUARTERS; COPPER & MAGNETIC AUTOMOTIVE WIRE, METAL STAMPING, AUTOMOTIVE ELECTRICAL WIRE HARNESSES",-2.661,-84.283
STANDEX ELECTRONICS,"4538 CAMBERWELL ROAD, CINCINNATI, OH, 45209","MAGNETICS, ANTENNA & PRECISION STAMPING JOB SHOP",-0.302,-83.058
THERMOTION CORP.,"9330 PROGRESS PARKWAY, MENTOR, OH, 44060","ELECTROTHERMAL LINEAR ACTUATORS, 2, 3 & 4-PORT COOLANT VALVES, C-FACE MAGNETIC RING ENCODERS, C-FACE RING TACHOMETERS",2.545,-81.218
"METUCHEN CAPACITORS, INC.","2139 NJ 35, HOLMDEL, NJ, 07733","CERAMIC & TANTALUM CAPACITORS, EMI/RFI FILTERS, FERRITES, MAGNETICS, RESISTORS, FILTERED CONNECTORS",2.259,-76.045
ELECTRONIC COILS,"53 MAINLINE DRIVE, WESTFIELD, MA, 01085","STANDARD & CUSTOM ELECTROMAGNETIC COMPONENTS, INCLUDING TRANSFORMERS, INDUCTORS, COILS, REACTORS & CHOKES",4.119,-75.474
XENSOR CORP.,"4000 BRIDGE STREET, DREXEL HILL, PA, 19026","ELECTROMAGNETIC, CAPACITIVE & PROXIMITY SENSORS",1.612,-76.722
"TVS MFG. SPECIALISTS, INC.","2413 POND BRANCH ROAD, LEESVILLE, SC, 29070","CUSTOM MAGNETIC COMPONENTS COILS, TOROIDS, AIR COILS & BATTERY CABLES",-5.189,-80.02
AIREX CORP.,"15 LILAC LANE, SOMERSWORTH, NH, 03878","ELECTROMAGNETIC SPACE, AEROSPACE & COMMERCIAL COMPONENTS",5.506,-74.533
FERROTEC (USA) CORPORATION,"33 CONSTITUTION DRIVE, BEDFORD, NH, 03110",MAGNETIC FLUID & ROTARY SEALS & THERMOELECTRIC PRODUCTS,5.127,-74.862
"TECMAG, INC.","10161 HARWIN DRIVE, HOUSTON, TX, 77036",MAGNETIC RESONANCE EQUIPMENT,-10.291,-91.175
VANGUARD ID SYSTEMS,"1210 AMERICAN BOULEVARD, WEST CHESTER, PA, 19380","BAR CODE, MAGNETIC STRIPE & RFID CARDS, KEY TAGS & LABELS FOR CUSTOMER LOYALTY, GIFT, MEMBERSHIP & SECURITY CONTROL",1.626,-76.933
QUALITY MAGNETICS CORP.,"1954 EAST GLADWICK STREET, COMPTON, CA, 90220",MEDICAL & DEFENSE MAGNETIC RADAR EQUIPMENT,-3.746,-108.387
SCHONSTEDT INSTRUMENT COMPANY,"100 EDMOND ROAD, KEARNEYSVILLE, WV, 25430","MAGNETIC PIPE & CABLE LOCATORS FOR SURVEYORS, UTILITIES & CONSTRUCTION CONTRACTORS",0.67,-78.399
"RITCHIE & SONS, INC., E. S.","243 OAK STREET, PEMBROKE, MA, 02359","MAGNETIC COMPASSES FOR RECREATIONAL, AUTOMOTIVE & COMMERCIAL MARINE APPLICATIONS",4.445,-74.167
NVE CORP.,"11409 VALLEY VIEW ROAD, EDEN PRAIRIE, MN, 55344","INTEGRATED CIRCUITS, ELECTRICAL COMPONENT MEMORIES, MAGNETIC SENSORS & ISOLATORS",4.91,-89.781
SCI ENGINEERED MATERIALS,"2839 CHARTER STREET, COLUMBUS, OH, 43228","SPUTTERING TARGETS USED TO PRODUCE THIN FILM COATINGS FOR MAGNETIC MEDIA, SEMICONDUCTORS, SOLAR PHOTOVOLTAICS",0.667,-82.251
"ANGSTROM SCIENCES, INC.","40 SOUTH LINDEN STREET, DUQUESNE, PA, 15110","THIN FILM DEPOSITION EQUIPMENT, MAGNETRON SPUTTERING CATHODES & PLASMA VAPOR DEPOSITION MATERIAL",1.397,-79.981
"ADVANCED MICROSENSORS, INC.","333 SOUTH STREET, SHREWSBURY, MA, 01545","THIN FILM MAGNETIC MICROCOMPONENTS, INCLUDING SENSORS, TAPE HEADS & MICROCHIPS",4.448,-74.826
L-3 COMMUNICATIONS ELECTRON DEVICES,"1035 WESTMINSTER DRIVE, WILLIAMSPORT, PA, 17701","MICROWAVE & INDUCTIVE OUTPUT TUBES, MAGNETRONS, CROSSED-FIELD AMPLIFIERS, KLYSTRONS & THYRATRONS",2.639,-78.145
"FISCHER TECHNOLOGY, INC.","750 MARSHALL PHELPS ROAD, WINDSOR, CT, 06095","COATING THICKNESS GAUGES & MATERIAL ANALYSIS & MATERIAL TESTING INSTRUMENTS FOR X-RAY FLUORESCENCE, MAGNETIC INDUCTION",3.894,-75.388
HONEYWELL SENSING & CONTROL,"1845 57TH STREET, SARASOTA, FL, 34243",MAGNETIC SENSORS & PROXIMITY DEVICES,-11.707,-79.828
ALGONQUIN INDUSTRIES,"1800 US HIGHWAY 61 SOUTH, OSCEOLA, AR, 72370","BARE & INSULATED ALUMINUM & COPPER MAGNET WIRE, BAR PRODUCTS & TRANSFORMER LEAD CABLES",-4.173,-86.871
"LOR MFG. CO., INC.","7131 WEST DREW ROAD, WEIDMAN, MI, 48893","ELECTRICAL COMPONENTS, CONTROLS, & MAGNETS",4.13,-84.006
"ESSEX GROUP, INC.","3200 ESSEX DRIVE, FRANKLIN, IN, 46131",MAGNET WIRE,-0.082,-84.291
"HYPER TECH RESEARCH, INC.","1275 KINNEAR ROAD, COLUMBUS, OH, 43212",MAGNESIUM DIBORIDE (MGB2) & NIOBIUM TIN (NB3SN) SUPERCONDUCTING WIRES & CUSTOM MGB2 MAGNET COILS,0.665,-82.183
HANOVER MFG. CORP.,"10117 LEADBETTER PLACE, ASHLAND, VA, 23005",MAGNET WIRES,-0.886,-77.776
AJAX TOCCO MAGNETHERMIC CORP.,"8984 MERIDIAN CIRCLE NW, NORTH CANTON, OH, 44720","ELECTRIC LIFTING MAGNETS, NEW & REBUILT INDUCTION EQUIPMENT & HEATING & MELTING FURNACES",1.747,-81.17
"MAGNETECH INDUSTRIAL SERVICES, INC.","821 BEV ROAD, BOARDMAN, OH, 44512",INDUSTRIAL ELECTROMAGNETS,1.912,-80.64
"BEL FUSE, INC. (H Q)","206 VAN VORST STREET, JERSEY CITY, NJ, 07302","CORPORATE HEADQUARTERS; THICK FILM CIRCUITS, MINI & MICRO FUSES, DELAY LINES & LAN & TELECOMMUNICATION MAGNETIC",2.565,-76.035
"DYKE'S ELECTRIC, INC.","3028 POLE LINE ROAD, POCATELLO, ID, 83201","ELECTRIC MOTORS, PUMPS, GENERATORS, WELDERS & MAGNETS",3.789,-102.624
"CARLSBAD MAGNETICS, INC.","6086 CORTE DEL CEDRO, CARLSBAD, CA, 92011",ELECTROMECHANICAL & ELECTROMAGNETIC MOTORS FOR THE MEDICAL & ROBOTICS INDUSTRIES,-4.592,-107.88
DC POWER PRODUCTS,"1501 LAVELLE ROAD, ALAMOGORDO, NM, 88310",PERMANENT MAGNETIC MOTORS,-6.559,-99.436
"MINNESOTA ELECTRIC TECHNOLOGY, INC.","352 MAIN STREET SOUTH, WINNEBAGO, MN, 56098",PERMANENT-MAGNET DC & FRACTIONAL-HORSEPOWER MOTORS,3.789,-90.251
MCMILLAN ELECTRIC CO.,"400 BEST ROAD, WOODVILLE, WI, 54028","PRECISION ELECTRIC, MAGNET & BRUSHLESS DC MOTORS & SPLIT CAPACITORS",5.021,-89.024
"MICROMO ELECTRONICS, INC.","14881 EVERGREEN AVENUE, CLEARWATER, FL, 33762","MOTORS, GEAR HEADS, MAGNETIC ENCODERS & SERVO SYSTEMS & CONTROLLERS",-11.219,-80.043
MAMCO CORPORATION,"8630 INDUSTRIAL DRIVE, FRANKSVILLE, WI, 53126","CORPORATE HEADQUARTERS & FRACTIONAL HORSEPOWER ELECTRIC, PERMANENT MAGNET & AC & DC MOTORS",3.034,-85.896
"ELWOOD CORP., GETTYS GROUP","2701 NORTH GREEN BAY ROAD, RACINE, WI, 53404","SERVO, BRUSHLESS, DC, MAGNETIC & STEP MOTORS",3.021,-85.846
"MOTOR SPECIALTY, INC.","2801 LATHROP AVENUE, RACINE, WI, 53405","FRACTIONAL-HORSEPOWER AC/DC SERIES WOUND, DC SHUNT-WOUND & PERMANENT-MAGNET MOTORS, ARMATURE FIELD SETS & COMPONENTS",2.966,-85.845
RAE CORP.,"4615 WEST PRIME PARKWAY, MCHENRY, IL, 60050","FRACTIONAL HORSEPOWER STANDARD & CUSTOM DC PERMANENT MAGNET MOTORS, GEAR MOTORS & CONTROLS",2.548,-86.13
"MAGNETECH INDUSTRIAL SERVICES, INC.","1125 SOUTH WALNUT STREET, SOUTH BEND, IN, 46619","CORPORATE HEADQUARTERS & ELECTRIC MOTORS, LIFTING MAGNETS & EQUIPMENT",2.037,-84.666
"ASPEN MOTION TECHNOLOGIES, INC.","1120 ROCK ROAD, RADFORD, VA, 24141","SMALL ELECTRIC MOTORS, INCLUDING MAGNET BRUSHLESS DC & DSP INTENSIVE CONTROLS FOR MEDICAL EQUIPMENT",-1.904,-79.949
KANAWHA ELECTRIC & MACHINE CO.,"2971 EAST DUPONT AVENUE, BELLE, WV, 25015","REMANUFACTURED ELECTRIC MOTORS, GENERATORS & PUMPS, INCLUDING MAGNETS, PRECISION MACHINED PARTS, FABRICATION",-0.934,-80.789
"EVERSON TESLA, INC.","615 DANIELS ROAD, NAZARETH, PA, 18064","INDUSTRIAL ELECTRIC MOTORS, GENERATORS & COILS, ROTOR COILS, SUPERCONDUCTING & RESISTIVE MAGNETS & CRYOGENIC WORK",2.362,-76.92
"CURRENT APPLICATIONS, INC.","800 STARBUCK AVENUE, WATERTOWN, NY, 13601","ELECTRIC, UNIVERSAL, PERMANENT MAGNET & GEAR MOTORS & MOTOR PART SETS",5.447,-77.978
"SENSATA TECHNOLOGIES, POWER CONTROLS DIV","807 WOODS ROAD, CAMBRIDGE, MD, 21613",DIVISIONAL HEADQUARTERS & MAGNETIC CIRCUIT BREAKERS125,0.165,-76.965
