product_name,mineral,product_id,mineral_id
Treatment,Fluorine (f),33,10
Treatment,Boron (b),33,4
Treatment,Copper (cu),33,7
Treatment,Cobalt (co),33,6
Treatment,Yttrium (y),33,42
Vehicles Other,Beryllium (be),34,3
Vehicles Other,Antimony (sb),34,1
Wiring,Copper (cu),35,7
Wiring,Aluminum (al),35,0
nuclear other,Beryllium (be),36,3
nuclear other,Tantalum,36,36
semiconductors,Indium (in),37,14
semiconductors,Boron (b),37,4
semiconductors,Antimony (sb),37,1
semiconductors,Arsenic (as),37,2
semiconductors,Germanium (ge),37,13
semiconductors,Gallium (ga),37,11
semiconductors,Gallium nitride (gan),37,12
semiconductors,Zinc (zn),37,43
semiconductors,Tellurium (te),37,37
semiconductors,Silicon (si),37,31
semiconductors,Titanium (ti),37,38
weaponry,Beryllium (be),38,3
weaponry,Iridium (ir),38,15
weaponry,Tantalum,38,36
weaponry,Tungsten (w),38,39
weaponry,Uranium (u),38,40
weaponry,Antimony (sb),38,1
