mineral,product,mineral_id,product_id
Lrees (light rare earth elements),Magnets,19,19
Lrees (light rare earth elements),Electronics,19,9
Lrees (light rare earth elements),Offshore Turbines,19,24
Lrees (light rare earth elements),Food/Water/Nutrition,19,13
Lrees (light rare earth elements),Motors,19,22
Magnesium (mg),Lightweighting,20,18
Magnesium (mg),Lightweighting,20,18
Magnesium (mg),Treatment,20,35
Magnesium (mg),Equipment/Implants,20,10
Magnesium (mg),Food/Water/Nutrition,20,13
Magnesium (mg),Alloys,20,1
Manganese (mn),Conversion,21,7
Manganese (mn),Electronics,21,9
Manganese (mn),Food/Water/Nutrition,21,13
Manganese (mn),H2 Electrolyzers,21,16
Manganese (mn),Fuel Cells,21,14
Manganese (mn),Lightweighting,21,18
Manganese (mn),Batteries,21,2
Manganese (mn),Lightweighting,21,18
Manganese (mn),Ev-Electronics,21,12
Manganese (mn),Alloys,21,1
Mixed rare earth oxide (mreo),Conversion,22,7
Mixed rare earth oxide (mreo),Fuel Cells,22,14
Natural graphite,Batteries,23,2
Natural graphite,Batteries,23,2
Natural graphite,Conversion,23,7
Natural graphite,Moderators,23,21
Natural graphite,Fuels,23,15
Natural graphite,Fuel Cells,23,14
Natural graphite,Alloys,23,1
Neodymium (nd),Offshore Turbines,24,24
Neodymium (nd),Batteries,24,2
Neodymium (nd),Magnets,24,19
Nickel (ni),Batteries,25,2
Nickel (ni),Breakers,25,3
Nickel (ni),Transformers,25,34
Nickel (ni),Conversion,25,7
Nickel (ni),Converters,25,8
Nickel (ni),Switches,25,33
Nickel (ni),Moderators,25,21
Nickel (ni),H2 Electrolyzers,25,16
Nickel (ni),Fuel Cells,25,14
Nickel (ni),Lightweighting,25,18
Nickel (ni),Batteries,25,2
Nickel (ni),Magnets,25,19
Nickel (ni),Lightweighting,25,18
Nickel (ni),Equipment/Implants,25,10
Palladium (pd),Electronics,26,9
Palladium (pd),Fuel Cells,26,14
Palladium (pd),Equipment/Implants,26,10
Palladium (pd),Treatment,26,35
Palladium (pd),Spacecraft,26,32
Palladium (pd),Catalysts,26,4
Palladium (pd),Ev-Electronics,26,12
Palladium (pd),Electronics,26,9
Palladium (pd),Satellite,26,28
Palladium (pd),Conversion,26,7
Phosphorous (p),Led,27,17
Phosphorous (p),Batteries,27,2
Phosphorous (p),Batteries,27,2
Phosphorous (p),Treatment,27,35
Phosphorous (p),Equipment/Implants,27,10
Phosphorous (p),Alloys,27,1
Platinum (pt),Conversion,28,7
Platinum (pt),Electronics,28,9
Platinum (pt),Ev-Electronics,28,12
Platinum (pt),Catalysts,28,4
Platinum (pt),Fuel Cells,28,14
Platinum (pt),Aircraft,28,0
Platinum (pt),H2 Electrolyzers,28,16
Platinum (pt),Treatment,28,35
Platinum (pt),Equipment/Implants,28,10
Praseodymium (pr),Motors,29,22
Praseodymium (pr),Magnets,29,19
Praseodymium (pr),Offshore Turbines,29,24
Praseodymium (pr),Batteries,29,2
Praseodymium (pr),Alloys,29,1
Rhodium (rh),Scientific,30,29
Rhodium (rh),Communications,30,5
Rhodium (rh),Motors,30,22
Rhodium (rh),Catalysts,30,4
Silicon (si),Semiconductors,31,30
Silicon (si),Electronics,31,9
Silicon (si),Ev-Electronics,31,12
Silicon (si),Lightweighting,31,18
Silicon (si),Lightweighting,31,18
Silicon (si),Motors,31,22
Silicon (si),Pvs,31,27
Silicon (si),Transformers,31,34
Silicon carbide (sic),Construction,32,6
Silicon carbide (sic),Equipment/Implants,32,10
Silicon carbide (sic),Converters,32,8
Silicon carbide (sic),Transformers,32,34
Silicon carbide (sic),Breakers,32,3
Silicon carbide (sic),Treatment,32,35
Silicon carbide (sic),Switches,32,33
Silicon carbide (sic),Electronics,32,9
Silicon carbide (sic),Ev-Electronics,32,12
Silicon carbide (sic),Production/Manufacturing,32,26
Sodium (na),Equipment/Implants,33,10
Sodium (na),Food/Water/Nutrition,33,13
Sodium (na),Treatment,33,35
Sodium (na),Batteries,33,2
Sodium (na),Moderators,33,21
Strontium (sr),Treatment,34,35
Strontium (sr),Fuels,34,15
Strontium (sr),Fuel Cells,34,14
Strontium (sr),Conversion,34,7
Strontium (sr),H2 Electrolyzers,34,16
Strontium (sr),Equipment/Implants,34,10
Strontium (sr),Scientific,34,29
Sulfur (s),Batteries,35,2
Sulfur (s),Food/Water/Nutrition,35,13
Sulfur (s),Construction,35,6
Sulfur (s),Scientific,35,29
Tantalum,Ev-Electronics,36,12
Tantalum,Spacecraft,36,32
Tantalum,Aircraft,36,0
Tantalum,Treatment,36,35
Tantalum,Equipment/Implants,36,10
Tantalum,Production/Manufacturing,36,26
Tantalum,Weaponry,36,37
Tantalum,Scientific,36,29
Tantalum,Nuclear Other,36,23
Tantalum,Electronics,36,9
Tellurium (te),Electronics,37,9
Tellurium (te),Electronics,37,9
Tellurium (te),Alloys,37,1
Tellurium (te),Ev-Electronics,37,12
Tellurium (te),Semiconductors,37,30
Tellurium (te),Pvs,37,27
Titanium (ti),Spacecraft,38,32
Titanium (ti),Aircraft,38,0
Titanium (ti),H2 Electrolyzers,38,16
Titanium (ti),Treatment,38,35
Titanium (ti),Equipment/Implants,38,10
Titanium (ti),Lightweighting,38,18
Titanium (ti),Motors,38,22
Titanium (ti),Semiconductors,38,30
Tungsten (w),Weaponry,39,37
Tungsten (w),Aircraft,39,0
Tungsten (w),Alloys,39,1
Uranium (u),Weaponry,40,37
Uranium (u),Fuels,40,15
Uranium (u),Moderators,40,21
Uranium (u),Ships,40,31
Uranium (u),Spacecraft,40,32
Uranium (u),Food/Water/Nutrition,40,13
Uranium (u),Treatment,40,35
Uranium (u),Scientific,40,29
Vanadium (v),Moderators,41,21
Vanadium (v),Batteries,41,2
Vanadium (v),Aircraft,41,0
Vanadium (v),Alloys,41,1
Yttrium (y),Fuel Cells,42,14
Yttrium (y),H2 Electrolyzers,42,16
Yttrium (y),Treatment,42,35
Yttrium (y),Communications,42,5
Yttrium (y),Batteries,42,2
Yttrium (y),Conversion,42,7
Yttrium (y),Led,42,17
Zinc (zn),Food/Water/Nutrition,43,13
Zinc (zn),Alloys,43,1
Zinc (zn),Semiconductors,43,30
Zinc (zn),Batteries,43,2
Zinc (zn),Onshore Turbines,43,25
Zinc (zn),Offshore Turbines,43,24
Zinc (zn),Pvs,43,27
Zirconium (zr),Fuels,44,15
Zirconium (zr),Fuel Cells,44,14
Zirconium (zr),Spacecraft,44,32
Zirconium (zr),H2 Electrolyzers,44,16
Zirconium (zr),Treatment,44,35
Zirconium (zr),Production/Manufacturing,44,26
Zirconium (zr),Scientific,44,29
Zirconium (zr),Moderators,44,21
Zirconium (zr),Conversion,44,7
